serum,virus,replicate,concentration,fraction infectivity
2389,HK19,1,0.025,-0.012804765
2389,HK19,1,0.0125,0.004596011
2389,HK19,1,0.00625,0.058096731
2389,HK19,1,0.003125,0.219330394
2389,HK19,1,0.0015625,0.54580841
2389,HK19,1,0.00078125,0.82371602
2389,HK19,1,0.000390625,0.917061261
2389,HK19,1,0.000195313,0.939860612
2389,HK19,1,9.77E-05,1.006896023
2389,HK19,1,4.88E-05,1.001974525
2389,HK19,2,0.025,-0.007519077
2389,HK19,2,0.0125,-0.006507951
2389,HK19,2,0.00625,0.028027846
2389,HK19,2,0.003125,0.257608753
2389,HK19,2,0.0015625,0.544094277
2389,HK19,2,0.00078125,0.810771391
2389,HK19,2,0.000390625,0.928973069
2389,HK19,2,0.000195313,0.895908273
2389,HK19,2,9.77E-05,1.006934335
2389,HK19,2,4.88E-05,0.986062178
2462,HK19,1,0.025,0.038287543
2462,HK19,1,0.0125,0.064999445
2462,HK19,1,0.00625,0.027772655
2462,HK19,1,0.003125,0.140150034
2462,HK19,1,0.0015625,0.387793394
2462,HK19,1,0.00078125,0.760052119
2462,HK19,1,0.000390625,0.842175545
2462,HK19,1,0.000195313,0.965921596
2462,HK19,1,9.77E-05,0.990833179
2462,HK19,1,4.88E-05,0.982635116
2462,HK19,1,2.44E-05,1.006129874
2462,HK19,2,0.025,0.042112619
2462,HK19,2,0.0125,0.031519367
2462,HK19,2,0.00625,0.038247335
2462,HK19,2,0.003125,0.146158495
2462,HK19,2,0.0015625,0.411725139
2462,HK19,2,0.00078125,0.757115854
2462,HK19,2,0.000390625,0.827883644
2462,HK19,2,0.000195313,0.929840703
2462,HK19,2,9.77E-05,0.964408981
2462,HK19,2,4.88E-05,0.943559525
2462,HK19,2,2.44E-05,0.965791347
3944,HK19,1,0.003125,-0.003671878
3944,HK19,1,0.0015625,-0.00954924
3944,HK19,1,0.00078125,-0.004737398
3944,HK19,1,0.000390625,0.064932362
3944,HK19,1,0.000195313,0.296647616
3944,HK19,1,9.77E-05,0.594685859
3944,HK19,1,4.88E-05,0.804571389
3944,HK19,1,2.44E-05,0.923280331
3944,HK19,1,1.22E-05,0.995125826
3944,HK19,1,6.10E-06,0.960348129
3944,HK19,1,3.05E-06,0.983539309
3944,HK19,1,1.53E-06,1.031069809
3944,HK19,2,0.003125,-0.004731801
3944,HK19,2,0.0015625,-0.006578366
3944,HK19,2,0.00078125,0.035649773
3944,HK19,2,0.000390625,0.243322928
3944,HK19,2,0.000195313,0.56156274
3944,HK19,2,9.77E-05,0.7861041
3944,HK19,2,4.88E-05,0.903213499
3944,HK19,2,2.44E-05,0.966598239
3944,HK19,2,1.22E-05,1.043037152
3944,HK19,2,6.10E-06,0.94875544
3944,HK19,2,3.05E-06,0.970016165
3944,HK19,2,1.53E-06,0.992031947
2323,HK19,1,0.0125,0.009836934
2323,HK19,1,0.00625,0.025992286
2323,HK19,1,0.003125,0.105029047
2323,HK19,1,0.0015625,0.374358106
2323,HK19,1,0.00078125,0.590780592
2323,HK19,1,0.000390625,0.787145116
2323,HK19,1,0.000195313,0.917371846
2323,HK19,1,9.77E-05,0.978532068
2323,HK19,1,4.88E-05,0.76295103
2323,HK19,1,2.44E-05,0.803300025
2323,HK19,2,0.0125,0.006961522
2323,HK19,2,0.00625,0.022230245
2323,HK19,2,0.003125,0.089767433
2323,HK19,2,0.0015625,0.429810206
2323,HK19,2,0.00078125,0.612319468
2323,HK19,2,0.000390625,0.79463815
2323,HK19,2,0.000195313,0.993869645
2323,HK19,2,9.77E-05,0.872761365
2323,HK19,2,4.88E-05,1.014227208
2323,HK19,2,2.44E-05,1.114871106
2367,HK19,1,0.003125,-0.02114371
2367,HK19,1,0.0015625,-0.003902851
2367,HK19,1,0.00078125,-0.008239787
2367,HK19,1,0.000390625,0.011134058
2367,HK19,1,0.000195313,0.145359951
2367,HK19,1,9.77E-05,0.340043537
2367,HK19,1,4.88E-05,0.731924083
2367,HK19,1,2.44E-05,0.842017738
2367,HK19,1,1.22E-05,0.759066287
2367,HK19,1,6.10E-06,0.879553211
2367,HK19,2,0.003125,-0.023093562
2367,HK19,2,0.0015625,-0.018459429
2367,HK19,2,0.00078125,-0.014998264
2367,HK19,2,0.000390625,0.005118075
2367,HK19,2,0.000195313,0.065782472
2367,HK19,2,9.77E-05,0.287882243
2367,HK19,2,4.88E-05,0.570206404
2367,HK19,2,2.44E-05,0.725517369
2367,HK19,2,1.22E-05,0.857919812
2367,HK19,2,6.10E-06,0.892543179
