serum,virus,replicate,concentration,fraction infectivity
3977,HK19,1,0.05,0.041044664
3977,HK19,1,0.025,0.025373208
3977,HK19,1,0.0125,0.035779276
3977,HK19,1,0.00625,0.353202915
3977,HK19,1,0.003125,0.666028158
3977,HK19,1,0.0015625,0.912477352
3977,HK19,1,0.00078125,1.004857122
3977,HK19,1,0.000390625,1.016802195
3977,HK19,1,0.000195313,1.115004362
3977,HK19,1,9.76563E-05,1.220709128
3977,HK19,1,4.88281E-05,1.253708041
3977,HK19,1,2.44141E-05,1.207026554
3977,HK19,2,0.05,0.054267508
3977,HK19,2,0.025,0.019707346
3977,HK19,2,0.0125,0.046543814
3977,HK19,2,0.00625,0.405063291
3977,HK19,2,0.003125,0.663585863
3977,HK19,2,0.0015625,0.889189516
3977,HK19,2,0.00078125,1.019502453
3977,HK19,2,0.000390625,1.102821593
3977,HK19,2,0.000195313,1.081515945
3977,HK19,2,9.76563E-05,1.219159941
3977,HK19,2,4.88281E-05,1.196981525
3977,HK19,2,2.44141E-05,1.096164354
4299,HK19,1,0.1,0.057079606
4299,HK19,1,0.05,0.024042962
4299,HK19,1,0.025,0.02445088
4299,HK19,1,0.0125,0.168469505
4299,HK19,1,0.00625,0.500574658
4299,HK19,1,0.003125,0.890735596
4299,HK19,1,0.0015625,0.995931852
4299,HK19,1,0.00078125,1.044479279
4299,HK19,1,0.000390625,1.028835902
4299,HK19,1,0.000195313,1.03445691
4299,HK19,1,9.76563E-05,1.081654957
4299,HK19,1,4.88281E-05,1.045514151
4299,HK19,2,0.1,0.078020762
4299,HK19,2,0.05,0.025521013
4299,HK19,2,0.025,0.026655048
4299,HK19,2,0.0125,0.173686229
4299,HK19,2,0.00625,0.596063595
4299,HK19,2,0.003125,1.027563715
4299,HK19,2,0.0015625,1.144357603
4299,HK19,2,0.00078125,1.168315862
4299,HK19,2,0.000390625,1.123000872
4299,HK19,2,0.000195313,1.152644861
4299,HK19,2,9.76563E-05,1.074785324
4299,HK19,2,4.88281E-05,1.022893673
4500,HK19,1,0.1,0.038078946
4500,HK19,1,0.05,0.037290034
4500,HK19,1,0.025,0.019118116
4500,HK19,1,0.0125,0.105421687
4500,HK19,1,0.00625,0.55140634
4500,HK19,1,0.003125,0.834024455
