serum,virus,replicate,concentration,fraction infectivity
2319,HK19,1,0.025,0.90767027
2319,HK19,1,0.0125,1.232374966
2319,HK19,1,0.00625,1.103396465
2319,HK19,1,0.003125,1.029882944
2319,HK19,1,0.0015625,0.82906741
2319,HK19,1,0.00078125,1.009484677
2319,HK19,1,0.000390625,1.226623597
2320,HK19,1,0.05,0.879274362
2320,HK19,1,0.025,1.142336242
2320,HK19,1,0.0125,1.229891747
2320,HK19,1,0.00625,1.359376853
2320,HK19,1,0.003125,1.32135658
2320,HK19,1,0.0015625,1.272301064
2320,HK19,1,0.00078125,1.18123609
2320,HK19,1,0.000390625,1.334976765
2321,HK19,1,0.05,0.265371649
2321,HK19,1,0.025,0.642444763
2321,HK19,1,0.0125,0.900399643
2321,HK19,1,0.00625,1.203194812
2321,HK19,1,0.003125,1.318668883
2321,HK19,1,0.0015625,1.210276229
2321,HK19,1,0.00078125,1.323198083
2321,HK19,1,0.000390625,1.329989799
2322,HK19,1,0.05,1.512923423
2322,HK19,1,0.025,1.596648869
2322,HK19,1,0.0125,1.497458581
2322,HK19,1,0.00625,1.615752639
2322,HK19,1,0.003125,1.501149344
2322,HK19,1,0.0015625,1.331031424
2322,HK19,1,0.00078125,1.261564801
2322,HK19,1,0.000390625,1.215686275
2326,HK19,1,0.025,0.271042236
2326,HK19,1,0.0125,0.588678074
2326,HK19,1,0.00625,0.639199715
2326,HK19,1,0.003125,0.79166814
2326,HK19,1,0.0015625,0.770020274
2326,HK19,1,0.00078125,0.775278206
2326,HK19,1,0.000390625,0.984755752
2351,HK19,1,0.05,0.242922292
2351,HK19,1,0.025,0.395246063
2351,HK19,1,0.0125,0.630235047
2351,HK19,1,0.00625,0.98590609
2351,HK19,1,0.003125,1.065
2351,HK19,1,0.0015625,1.135236196
2351,HK19,1,0.00078125,0.936961733
2352,HK19,1,0.05,0.966632049
2352,HK19,1,0.025,1.0747844
2352,HK19,1,0.0125,1.099442825
2352,HK19,1,0.00625,1.305541132
2352,HK19,1,0.003125,1.356904762
2352,HK19,1,0.0015625,1.247662969
2352,HK19,1,0.00078125,1.167894877
2352,HK19,1,0.000390625,1.232042587
2353,HK19,1,0.0125,1.148149515
2353,HK19,1,0.00625,1.507380758
2353,HK19,1,0.003125,1.433333333
2353,HK19,1,0.0015625,1.296771781
2353,HK19,1,0.00078125,1.363579863
2353,HK19,1,0.000390625,1.320498797
2390,HK19,1,0.025,0.972438875
2390,HK19,1,0.0125,1.316986301
2390,HK19,1,0.00625,1.277203749
2390,HK19,1,0.003125,1.203057124
2390,HK19,1,0.0015625,1.169488255
2390,HK19,1,0.00078125,1.101293571
2390,HK19,1,0.000390625,0.861647171
3939,HK19,1,0.05,0.915072982
3939,HK19,1,0.0125,1.258630137
3939,HK19,1,0.00625,1.276005082
3939,HK19,1,0.003125,1.169605315
3939,HK19,1,0.0015625,1.202527372
3939,HK19,1,0.00078125,1.090646304
3939,HK19,1,0.000390625,1.082002256
3940,HK19,1,0.05,0.777904745
3940,HK19,1,0.0125,0.90803653
3940,HK19,1,0.00625,1.006017309
3940,HK19,1,0.003125,0.977025112
3940,HK19,1,0.0015625,0.969227801
3940,HK19,1,0.00078125,0.965577048
3940,HK19,1,0.000390625,1.014844724
3941,HK19,1,0.0125,0.553729917
3941,HK19,1,0.00625,0.77489413
3941,HK19,1,0.003125,0.862074634
3941,HK19,1,0.0015625,0.906758327
3941,HK19,1,0.00078125,0.961764706
3941,HK19,1,0.000390625,1.078070007
