serum,virus,replicate,concentration,fraction infectivity
AUSAB-02,HK19,1,2.44141E-05,1.162752
AUSAB-02,HK19,1,4.88281E-05,1.020114277
AUSAB-02,HK19,1,9.76563E-05,1.049059401
AUSAB-02,HK19,1,0.000195313,1.034232274
AUSAB-02,HK19,1,0.000390625,0.953368059
AUSAB-02,HK19,1,0.00078125,0.863344478
AUSAB-02,HK19,1,0.0015625,0.678757328
AUSAB-02,HK19,1,0.003125,0.396387393
AUSAB-02,HK19,1,0.00625,0.105600494
AUSAB-02,HK19,1,0.0125,0.040530769
AUSAB-02,HK19,1,0.025,0.045004994
AUSAB-02,HK19,1,0.05,0.111301958
AUSAB-02,HK19,2,2.44141E-05,1.090090667
AUSAB-02,HK19,2,4.88281E-05,0.977337657
AUSAB-02,HK19,2,9.76563E-05,1.039199333
AUSAB-02,HK19,2,0.000195313,0.977032267
AUSAB-02,HK19,2,0.000390625,0.910143904
AUSAB-02,HK19,2,0.00078125,0.876788905
AUSAB-02,HK19,2,0.0015625,0.649644768
AUSAB-02,HK19,2,0.003125,0.398164085
AUSAB-02,HK19,2,0.00625,0.152396764
AUSAB-02,HK19,2,0.0125,0.063903383
AUSAB-02,HK19,2,0.025,0.073715752
AUSAB-02,HK19,2,0.05,0.147190171
AUSAB-05,HK19,1,2.44141E-05,1.008808763
AUSAB-05,HK19,1,4.88281E-05,1.04748062
AUSAB-05,HK19,1,9.76563E-05,1.078709897
AUSAB-05,HK19,1,0.000195313,1.057974886
AUSAB-05,HK19,1,0.000390625,0.959695055
AUSAB-05,HK19,1,0.00078125,0.822940214
AUSAB-05,HK19,1,0.0015625,0.491686742
AUSAB-05,HK19,1,0.003125,0.183625217
AUSAB-05,HK19,1,0.00625,0.029022209
AUSAB-05,HK19,1,0.0125,0.013241283
AUSAB-05,HK19,1,0.025,0.01415649
AUSAB-05,HK19,1,0.05,0.073624213
AUSAB-05,HK19,2,2.44141E-05,1.061296212
AUSAB-05,HK19,2,4.88281E-05,0.979103472
AUSAB-05,HK19,2,9.76563E-05,0.923413381
AUSAB-05,HK19,2,0.000195313,0.951108736
AUSAB-05,HK19,2,0.000390625,0.906690741
AUSAB-05,HK19,2,0.00078125,0.675150051
AUSAB-05,HK19,2,0.0015625,0.421428854
AUSAB-05,HK19,2,0.003125,0.206515599
AUSAB-05,HK19,2,0.00625,0.066244599
AUSAB-05,HK19,2,0.0125,0.027005249
AUSAB-05,HK19,2,0.025,0.042288557
AUSAB-05,HK19,2,0.05,0.073823332
AUSAB-11,HK19,1,1.2207E-05,1.059627484
AUSAB-11,HK19,1,2.44141E-05,1.055458916
AUSAB-11,HK19,1,4.88281E-05,1.00137857
AUSAB-11,HK19,1,9.76563E-05,0.996454739
AUSAB-11,HK19,1,0.000195313,0.908926469
AUSAB-11,HK19,1,0.000390625,0.755861053
AUSAB-11,HK19,1,0.00078125,0.452949862
AUSAB-11,HK19,1,0.0015625,0.200563019
AUSAB-11,HK19,1,0.003125,0.014711996
AUSAB-11,HK19,1,0.00625,-0.000257471
AUSAB-11,HK19,1,0.0125,-0.00116848
AUSAB-11,HK19,1,0.025,0.016223708
AUSAB-11,HK19,2,1.2207E-05,1.03079295
AUSAB-11,HK19,2,2.44141E-05,0.99429512
AUSAB-11,HK19,2,4.88281E-05,0.97355653
AUSAB-11,HK19,2,9.76563E-05,1.022526044
AUSAB-11,HK19,2,0.000195313,0.925137796
AUSAB-11,HK19,2,0.000390625,0.793105262
AUSAB-11,HK19,2,0.00078125,0.505772199
AUSAB-11,HK19,2,0.0015625,0.233669909
AUSAB-11,HK19,2,0.003125,0.056679138
AUSAB-11,HK19,2,0.00625,0.033434483
AUSAB-11,HK19,2,0.0125,0.038596363
AUSAB-11,HK19,2,0.025,0.0557639
