serum,virus,replicate,concentration,fraction infectivity
2319,HK19,1,0.05,0.557874458
2319,HK19,1,0.025,0.90767027
2319,HK19,1,0.0125,1.232374966
2319,HK19,1,0.00625,1.103396465
2319,HK19,1,0.003125,1.029882944
2319,HK19,1,0.0015625,0.82906741
2319,HK19,1,0.00078125,1.009484677
2319,HK19,1,0.000390625,1.226623597
2320,HK19,1,0.05,0.879274362
2320,HK19,1,0.025,1.142336242
2320,HK19,1,0.0125,1.229891747
2320,HK19,1,0.00625,1.359376853
2320,HK19,1,0.003125,1.32135658
2320,HK19,1,0.0015625,1.272301064
2320,HK19,1,0.00078125,1.18123609
2320,HK19,1,0.000390625,1.334976765
2321,HK19,1,0.05,0.265371649
2321,HK19,1,0.025,0.642444763
2321,HK19,1,0.0125,0.900399643
2321,HK19,1,0.00625,1.203194812
2321,HK19,1,0.003125,1.318668883
2321,HK19,1,0.0015625,1.210276229
2321,HK19,1,0.00078125,1.323198083
2321,HK19,1,0.000390625,1.329989799
2322,HK19,1,0.05,1.512923423
2322,HK19,1,0.025,1.596648869
2322,HK19,1,0.0125,1.497458581
2322,HK19,1,0.00625,1.615752639
2322,HK19,1,0.003125,1.501149344
2322,HK19,1,0.0015625,1.331031424
2322,HK19,1,0.00078125,1.261564801
2322,HK19,1,0.000390625,1.215686275
2323,HK19,1,0.05,0.189757585
2323,HK19,1,0.025,0.206016408
2323,HK19,1,0.0125,0.180576572
2323,HK19,1,0.00625,0.176742715
2323,HK19,1,0.003125,0.162464194
2323,HK19,1,0.0015625,0.311454638
2323,HK19,1,0.00078125,0.48895737
2323,HK19,1,0.000390625,0.790264083
2324,HK19,1,0.05,0.272595922
2324,HK19,1,0.025,0.339367105
2324,HK19,1,0.0125,0.449540217
2324,HK19,1,0.00625,0.690917718
2324,HK19,1,0.003125,0.892315309
2324,HK19,1,0.0015625,1.215598074
2324,HK19,1,0.00078125,1.045505907
2324,HK19,1,0.000390625,1.167913408
2325,HK19,1,0.05,0.241130197
2325,HK19,1,0.025,0.212006772
2325,HK19,1,0.0125,0.237845808
2325,HK19,1,0.00625,0.485943616
2325,HK19,1,0.003125,0.70099374
2325,HK19,1,0.0015625,0.969526102
2325,HK19,1,0.00078125,0.901694915
2325,HK19,1,0.000390625,1.131644565
2326,HK19,1,0.05,0.181489806
2326,HK19,1,0.025,0.271042236
2326,HK19,1,0.0125,0.588678074
2326,HK19,1,0.00625,0.639199715
2326,HK19,1,0.003125,0.79166814
2326,HK19,1,0.0015625,0.770020274
2326,HK19,1,0.00078125,0.775278206
2326,HK19,1,0.000390625,0.984755752
2351,HK19,1,0.05,0.242922292
2351,HK19,1,0.025,0.395246063
2351,HK19,1,0.0125,0.630235047
2351,HK19,1,0.00625,0.98590609
2351,HK19,1,0.003125,1.065
2351,HK19,1,0.0015625,1.135236196
2351,HK19,1,0.00078125,0.936961733
2351,HK19,1,0.000390625,0.73521476
2352,HK19,1,0.05,0.966632049
2352,HK19,1,0.025,1.0747844
2352,HK19,1,0.0125,1.099442825
2352,HK19,1,0.00625,1.305541132
2352,HK19,1,0.003125,1.356904762
2352,HK19,1,0.0015625,1.247662969
2352,HK19,1,0.00078125,1.167894877
2352,HK19,1,0.000390625,1.232042587
2353,HK19,1,0.05,0.879216147
2353,HK19,1,0.025,0.454541554
2353,HK19,1,0.0125,1.148149515
2353,HK19,1,0.00625,1.507380758
2353,HK19,1,0.003125,1.433333333
2353,HK19,1,0.0015625,1.296771781
2353,HK19,1,0.00078125,1.363579863
2353,HK19,1,0.000390625,1.320498797
2354,HK19,1,0.05,0.331963697
2354,HK19,1,0.025,0.44055434
2354,HK19,1,0.0125,0.645289842
2354,HK19,1,0.00625,0.91254358
2354,HK19,1,0.003125,1.076984127
2354,HK19,1,0.0015625,1.094187544
2354,HK19,1,0.00078125,1.104235106
2354,HK19,1,0.000390625,1.130678918
2367,HK19,1,0.05,0.246805436
2367,HK19,1,0.025,0.234865062
2367,HK19,1,0.0125,0.161543854
2367,HK19,1,0.00625,0.211779542
2367,HK19,1,0.003125,0.179920635
2367,HK19,1,0.0015625,0.166770535
2367,HK19,1,0.00078125,0.177572583
2367,HK19,1,0.000390625,0.134543863
2368,HK19,1,0.05,0.264956879
2368,HK19,1,0.025,0.304715322
2368,HK19,1,0.0125,0.298217778
2368,HK19,1,0.00625,0.666122691
2368,HK19,1,0.003125,0.851507937
2368,HK19,1,0.0015625,0.962732145
2368,HK19,1,0.00078125,1.449880139
2368,HK19,1,0.000390625,1.066870852
2369,HK19,1,0.05,0.202736262
2369,HK19,1,0.025,0.244990775
2369,HK19,1,0.0125,0.165233755
2369,HK19,1,0.00625,0.308359914
2369,HK19,1,0.003125,0.43547619
2369,HK19,1,0.0015625,0.744941626
2369,HK19,1,0.00078125,0.966793927
2369,HK19,1,0.000390625,1.023116751
2383,HK19,1,0.05,0.184042986
2383,HK19,1,0.025,0.161668168
2383,HK19,1,0.0125,0.379469392
2383,HK19,1,0.00625,0.670128329
2383,HK19,1,0.003125,0.696031746
2383,HK19,1,0.0015625,1.144376584
2383,HK19,1,0.00078125,1.152090917
2383,HK19,1,0.000390625,1.140523591
