serum,virus,replicate,concentration,fraction infectivity
2343,HK19,1,0.05,0.031517248
2343,HK19,1,0.025,0.013208782
2343,HK19,1,0.0125,0.014734553
2343,HK19,1,0.00625,0.010100613
2343,HK19,1,0.003125,0.049177378
2343,HK19,1,0.0015625,0.175526117
2343,HK19,1,0.00078125,0.451865897
2343,HK19,1,0.000390625,0.793618446
2344,HK19,1,0.05,0.776977035
2344,HK19,1,0.025,1.100731838
2344,HK19,1,0.0125,1.147270546
2344,HK19,1,0.00625,1.197060211
2344,HK19,1,0.003125,1.169542011
2344,HK19,1,0.0015625,1.095455689
2344,HK19,1,0.00078125,0.909893993
2344,HK19,1,0.000390625,0.970799732
2345,HK19,1,0.05,0.165734602
2345,HK19,1,0.025,0.293845818
2345,HK19,1,0.0125,0.526807139
2345,HK19,1,0.00625,0.762183619
2345,HK19,1,0.003125,0.974311817
2345,HK19,1,0.0015625,1.072272994
2345,HK19,1,0.00078125,0.950486943
2345,HK19,1,0.000390625,1.054644968
2346,HK19,1,0.05,0.039704045
2346,HK19,1,0.025,0.030146169
2346,HK19,1,0.0125,0.023132873
2346,HK19,1,0.00625,0.028847665
2346,HK19,1,0.003125,0.161405753
2346,HK19,1,0.0015625,0.483063637
2346,HK19,1,0.00078125,0.688140998
2346,HK19,1,0.000390625,1.022096713
2347,HK19,1,0.05,0.68065725
2347,HK19,1,0.025,0.962178457
2347,HK19,1,0.0125,1.075584883
2347,HK19,1,0.00625,1.20040088
2347,HK19,1,0.003125,1.1732603
2347,HK19,1,0.0015625,1.143288337
2347,HK19,1,0.00078125,1.027191244
2347,HK19,1,0.000390625,1.218608984
2348,HK19,1,0.05,0.143903142
2348,HK19,1,0.025,0.414271831
2348,HK19,1,0.0125,0.764847031
2348,HK19,1,0.00625,1.034860871
2348,HK19,1,0.003125,1.068908302
2348,HK19,1,0.0015625,1.1681479
2348,HK19,1,0.00078125,1.054770318
2348,HK19,1,0.000390625,1.119974381
2349,HK19,1,0.05,0.565849909
2349,HK19,1,0.025,0.952023958
2349,HK19,1,0.0125,1.075884823
2349,HK19,1,0.00625,1.236047791
2349,HK19,1,0.003125,1.144593487
2349,HK19,1,0.0015625,1.139515385
2349,HK19,1,0.00078125,1.0039214
2349,HK19,1,0.000390625,1.121080672
2350,HK19,1,0.05,0.018756606
2350,HK19,1,0.025,0.024037603
2350,HK19,1,0.0125,0.019383623
2350,HK19,1,0.00625,0.021773306
2350,HK19,1,0.003125,0.012954041
2350,HK19,1,0.0015625,0.025027249
2350,HK19,1,0.00078125,0.105403775
2350,HK19,1,0.000390625,0.422428601
2363,HK19,1,0.05,0.37253228
2363,HK19,1,0.025,0.639486828
2363,HK19,1,0.0125,0.895285616
2363,HK19,1,0.00625,1.084805904
2363,HK19,1,0.003125,1.066048297
2363,HK19,1,0.0015625,1.079750347
2363,HK19,1,0.00078125,1.070704173
2363,HK19,1,0.000390625,1.170474149
2364,HK19,1,0.05,0.708319994
2364,HK19,1,0.025,0.918412612
2364,HK19,1,0.0125,1.041603579
2364,HK19,1,0.00625,1.116634731
2364,HK19,1,0.003125,1.148248841
2364,HK19,1,0.0015625,1.084335029
2364,HK19,1,0.00078125,1.064844598
2364,HK19,1,0.000390625,1.119556694
2365,HK19,1,0.05,0.034681464
2365,HK19,1,0.025,0.021988543
2365,HK19,1,0.0125,0.024569855
2365,HK19,1,0.00625,0.004896743
2365,HK19,1,0.003125,0.016596478
2365,HK19,1,0.0015625,0.060217291
2365,HK19,1,0.00078125,0.239832818
2365,HK19,1,0.000390625,0.581891369
2366,HK19,1,0.05,0.036139864
2366,HK19,1,0.025,0.028977644
2366,HK19,1,0.0125,0.100688231
2366,HK19,1,0.00625,0.300475481
2366,HK19,1,0.003125,0.624873394
2366,HK19,1,0.0015625,0.902142087
2366,HK19,1,0.00078125,0.978712942
2366,HK19,1,0.000390625,0.998431701
2379,HK19,1,0.05,0.041333191
2379,HK19,1,0.025,0.105059918
2379,HK19,1,0.0125,0.396317963
2379,HK19,1,0.00625,0.789440068
2379,HK19,1,0.003125,1.015867939
2379,HK19,1,0.0015625,1.104638619
2379,HK19,1,0.00078125,1.096396156
2379,HK19,1,0.000390625,1.055726907
2380,HK19,1,0.05,0.03155124
