serum,virus,replicate,concentration,fraction infectivity
34C,HK19,1,0.05,0.031769976
34C,HK19,1,0.025,0.020833333
34C,HK19,1,0.0125,0.020972021
34C,HK19,1,0.00625,0.018353301
34C,HK19,1,0.003125,0.011044379
34C,HK19,1,0.0015625,0.014696163
34C,HK19,1,0.00078125,0.117372313
34C,HK19,1,0.000390625,0.391738267
142C,HK19,1,0.05,0.034171195
142C,HK19,1,0.025,0.043618792
142C,HK19,1,0.0125,0.158465865
142C,HK19,1,0.00625,0.437284391
142C,HK19,1,0.003125,0.846910395
142C,HK19,1,0.0015625,1.008436686
142C,HK19,1,0.00078125,1.038619556
142C,HK19,1,0.000390625,1.035492904
199C,HK19,1,0.05,0.043622147
199C,HK19,1,0.025,0.048995136
199C,HK19,1,0.0125,0.104605901
199C,HK19,1,0.00625,0.351159827
199C,HK19,1,0.003125,0.776169938
199C,HK19,1,0.0015625,1.012868862
199C,HK19,1,0.00078125,1.038446568
197C,HK19,1,0.05,0.038758139
197C,HK19,1,0.025,0.033858167
197C,HK19,1,0.0125,0.080424525
197C,HK19,1,0.00625,0.294978333
197C,HK19,1,0.003125,0.759442138
197C,HK19,1,0.0015625,0.956922359
197C,HK19,1,0.00078125,0.953336505
197C,HK19,1,0.00039063,0.980973123
146C,HK19,1,0.05,0.144658057
146C,HK19,1,0.025,0.393369176
146C,HK19,1,0.0125,0.810759283
146C,HK19,1,0.00625,0.974322372
146C,HK19,1,0.003125,1.256237656
146C,HK19,1,0.0015625,1.118657906
146C,HK19,1,0.00078125,1.064351511
146C,HK19,1,0.00039063,0.928894526
18C,HK19,1,0.05,0.033894131
18C,HK19,1,0.025,0.02905786
18C,HK19,1,0.0125,0.041658061
18C,HK19,1,0.00625,0.123646869
18C,HK19,1,0.003125,0.497440445
18C,HK19,1,0.0015625,0.744294545
18C,HK19,1,0.00078125,0.868010206
52C,HK19,1,0.05,0.094201672
52C,HK19,1,0.025,0.306771633
52C,HK19,1,0.0125,0.644603676
52C,HK19,1,0.00625,0.896014955
52C,HK19,1,0.003125,1.183360877
52C,HK19,1,0.0015625,1.086544069
52C,HK19,1,0.00078125,0.973489599
52C,HK19,1,0.00039063,0.957949405
33C,HK19,1,0.05,0.036541629
33C,HK19,1,0.025,0.023137481
33C,HK19,1,0.0125,0.01931968
33C,HK19,1,0.00625,0.033137905
33C,HK19,1,0.003125,0.191422468
33C,HK19,1,0.0015625,0.40395008
33C,HK19,1,0.00078125,0.638238983
33C,HK19,1,0.00039063,0.860158438
75C,HK19,1,0.05,0.104912885
75C,HK19,1,0.025,0.41735552
75C,HK19,1,0.0125,0.695058867
75C,HK19,1,0.00625,0.916539296
75C,HK19,1,0.003125,1.003778977
75C,HK19,1,0.0015625,0.990546031
75C,HK19,1,0.00078125,1.005499799
75C,HK19,1,0.00039063,1.064416341
215C,HK19,1,0.05,0.017030426
215C,HK19,1,0.025,0.011558418
215C,HK19,1,0.0125,0.004264392
215C,HK19,1,0.00625,0.012227569
215C,HK19,1,0.003125,0.011468537
215C,HK19,1,0.0015625,0.013675552
215C,HK19,1,0.00078125,0.097270173
215C,HK19,1,0.00039063,0.276498954
229C,HK19,1,0.05,0.022593471
229C,HK19,1,0.025,0.038217928
229C,HK19,1,0.0125,0.157485863
229C,HK19,1,0.00625,0.423436173
229C,HK19,1,0.003125,0.787944876
229C,HK19,1,0.0015625,0.948369835
229C,HK19,1,0.00078125,0.955800883
229C,HK19,1,0.00039063,1.013329087
29C,HK19,1,0.05,0.088530912
29C,HK19,1,0.025,0.350044731
29C,HK19,1,0.0125,0.681079077
29C,HK19,1,0.00625,0.946466648
29C,HK19,1,0.003125,1.060745643
29C,HK19,1,0.0015625,1.046199584
29C,HK19,1,0.00078125,0.978281815
29C,HK19,1,0.00039063,1.003639341
47C,HK19,1,0.05,0.874524326
47C,HK19,1,0.025,1.092073716
47C,HK19,1,0.0125,1.164883656
47C,HK19,1,0.00625,1.164524955
47C,HK19,1,0.003125,1.160841527
47C,HK19,1,0.0015625,1.151758993
47C,HK19,1,0.00078125,0.946045765
47C,HK19,1,0.00039063,1.05900282
186C,HK19,1,0.05,0.082524189
186C,HK19,1,0.025,0.259402398
186C,HK19,1,0.0125,0.529526282
186C,HK19,1,0.00625,0.755807152
186C,HK19,1,0.003125,0.968320517
186C,HK19,1,0.0015625,0.972787633
186C,HK19,1,0.00078125,0.826655961
186C,HK19,1,0.00039063,1.03684833
89C,HK19,1,0.05,0.628555827
89C,HK19,1,0.025,0.974163536
89C,HK19,1,0.0125,1.060165013
89C,HK19,1,0.00625,1.058250778
89C,HK19,1,0.003125,1.086051627
89C,HK19,1,0.0015625,0.896878407
89C,HK19,1,0.00078125,0.961421116
89C,HK19,1,0.00039063,1.062096261
74C,HK19,1,0.05,0.033139366
74C,HK19,1,0.025,0.016568259
74C,HK19,1,0.0125,0.021247798
74C,HK19,1,0.00625,0.084158883
74C,HK19,1,0.003125,0.353794958
74C,HK19,1,0.0015625,0.645089684
74C,HK19,1,0.00078125,0.823524689
74C,HK19,1,0.00039063,0.898462378
94C,HK19,1,0.05,0.029527559
94C,HK19,1,0.025,0.025197082
94C,HK19,1,0.0125,0.094146526
94C,HK19,1,0.00625,0.377010443
94C,HK19,1,0.003125,0.603335272
94C,HK19,1,0.0015625,0.882425693
94C,HK19,1,0.00078125,1.038054425
94C,HK19,1,0.00039063,1.052702638
169C,HK19,1,0.05,0.033275288
169C,HK19,1,0.025,0.038458705
169C,HK19,1,0.0125,0.172960725
