serum,virus,replicate,concentration,fraction infectivity
34C,HK19,1,0.0125,0.008325713
34C,HK19,1,0.00625,-0.002320588
34C,HK19,1,0.003125,-0.004964508
34C,HK19,1,0.0015625,-0.000845762
34C,HK19,1,0.00078125,0.102133252
34C,HK19,1,0.000390625,0.306030995
34C,HK19,1,0.000195313,0.711179719
34C,HK19,1,9.76563E-05,0.842695198
34C,HK19,1,4.88281E-05,0.990251024
34C,HK19,1,2.44141E-05,1.027912152
34C,HK19,1,1.2207E-05,1.002799792
34C,HK19,1,6.10352E-06,0.998094617
34C,HK19,2,0.0125,0.001684393
34C,HK19,2,0.00625,-0.001322952
34C,HK19,2,0.003125,-0.00026129
34C,HK19,2,0.0015625,0.00422881
34C,HK19,2,0.00078125,0.096673744
34C,HK19,2,0.000390625,0.338810398
34C,HK19,2,0.000195313,0.70400487
34C,HK19,2,9.76563E-05,0.863966374
34C,HK19,2,4.88281E-05,0.989214901
34C,HK19,2,2.44141E-05,1.029121517
34C,HK19,2,1.2207E-05,1.056041003
34C,HK19,2,6.10352E-06,1.01153258
215C,HK19,1,0.00625,0.006651095
215C,HK19,1,0.003125,0.001952792
215C,HK19,1,0.0015625,0.004301638
215C,HK19,1,0.00078125,0.061499802
215C,HK19,1,0.000390625,0.236624802
215C,HK19,1,0.000195313,0.535294466
215C,HK19,1,9.76563E-05,0.740494371
215C,HK19,1,4.88281E-05,0.872297172
215C,HK19,1,2.44141E-05,0.905550701
215C,HK19,1,1.2207E-05,0.971196902
215C,HK19,1,6.10352E-06,0.999239913
215C,HK19,2,0.00625,0.006809454
215C,HK19,2,0.003125,0.002483648
215C,HK19,2,0.0015625,0.009949877
215C,HK19,2,0.00078125,0.065580894
215C,HK19,2,0.000390625,0.259410489
215C,HK19,2,0.000195313,0.59191576
215C,HK19,2,9.76563E-05,0.755766354
215C,HK19,2,4.88281E-05,0.836333395
215C,HK19,2,2.44141E-05,0.926598533
215C,HK19,2,1.2207E-05,0.915849772
215C,HK19,2,6.10352E-06,0.980913371
33C,HK19,1,0.025,0.004540794
33C,HK19,1,0.0125,0.008770485
33C,HK19,1,0.00625,0.024575675
33C,HK19,1,0.003125,0.116377568
33C,HK19,1,0.0015625,0.445812617
33C,HK19,1,0.00078125,0.748223274
33C,HK19,1,0.000390625,0.857438385
33C,HK19,1,0.000195313,0.96992536
33C,HK19,1,9.76563E-05,1.016727673
33C,HK19,1,4.88281E-05,1.031178263
33C,HK19,1,2.44141E-05,0.987249739
33C,HK19,2,0.025,0.010609136
33C,HK19,2,0.0125,0.011323396
33C,HK19,2,0.00625,0.025906145
33C,HK19,2,0.003125,0.144138767
33C,HK19,2,0.0015625,0.427400559
33C,HK19,2,0.00078125,0.72974909
33C,HK19,2,0.000390625,0.876270642
33C,HK19,2,0.000195313,0.991188786
33C,HK19,2,9.76563E-05,1.114692801
33C,HK19,2,4.88281E-05,1.042823156
33C,HK19,2,2.44141E-05,1.039913861
197C,HK19,1,0.05,0.03204724
197C,HK19,1,0.025,0.027182929
197C,HK19,1,0.0125,0.051183096
197C,HK19,1,0.00625,0.216822778
197C,HK19,1,0.003125,0.533256275
197C,HK19,1,0.0015625,0.825211776
197C,HK19,1,0.00078125,0.938994257
197C,HK19,1,0.000390625,0.975079047
197C,HK19,1,0.000195313,1.039670057
197C,HK19,1,9.76563E-05,0.938017886
197C,HK19,2,0.05,0.027995949
197C,HK19,2,0.025,0.023978284
197C,HK19,2,0.0125,0.055443988
197C,HK19,2,0.00625,0.210996121
197C,HK19,2,0.003125,0.530217966
197C,HK19,2,0.0015625,0.792468339
197C,HK19,2,0.00078125,0.992520369
197C,HK19,2,0.000390625,0.978750892
197C,HK19,2,0.000195313,1.004299046
197C,HK19,2,9.76563E-05,1.010147837
199C,HK19,1,0.05,0.024756387
199C,HK19,1,0.025,0.026340075
199C,HK19,1,0.0125,0.065883325
199C,HK19,1,0.00625,0.277024236
199C,HK19,1,0.003125,0.632318418
199C,HK19,1,0.0015625,0.953170948
199C,HK19,1,0.00078125,0.952310234
199C,HK19,1,0.000390625,1.017430055
199C,HK19,1,0.000195313,0.980787606
199C,HK19,1,9.76563E-05,1.000162111
199C,HK19,1,4.88281E-05,1.015918569
199C,HK19,2,0.05,0.046239512
199C,HK19,2,0.025,0.033146197
199C,HK19,2,0.0125,0.070267163
199C,HK19,2,0.00625,0.319849904
199C,HK19,2,0.003125,0.65821299
199C,HK19,2,0.0015625,0.973515323
199C,HK19,2,0.00078125,0.981878556
199C,HK19,2,0.000390625,1.094841063
199C,HK19,2,0.000195313,1.04006279
199C,HK19,2,9.76563E-05,1.108735739
199C,HK19,2,4.88281E-05,1.015739205
