serum,variant,log2_fold_change_ic50
2388,A/Stockholm/18/2014,-2.0806277327363385
2388,A/Singapore/TT0495/2017,-2.016403553160535
2388,A/Ecuador/4472/2019,-2.3204502639763755
2388,A/SouthAuckland/2/2020,0.18948817365406206
2388,A/Zhejiang-yongkang/1312/2022,1.3484784172576947
3862,A/Stockholm/18/2014,-1.7849904656586337
3862,A/Singapore/TT0495/2017,-1.7615944765146774
3862,A/Ecuador/4472/2019,-1.8105406915238915
3862,A/SouthAuckland/2/2020,0.07357103206255884
3862,A/Zhejiang-yongkang/1312/2022,2.0160348142004874
2380,A/Stockholm/18/2014,-2.883824316723824
2380,A/Singapore/TT0495/2017,-2.674833825210136
2380,A/Ecuador/4472/2019,-2.2335217310078215
2380,A/SouthAuckland/2/2020,-0.1906683363482206
2380,A/Zhejiang-yongkang/1312/2022,2.1058447125899837
199C,A/Stockholm/18/2014,2.166069428404631
199C,A/Singapore/TT0495/2017,2.374538640624208
199C,A/Ecuador/4472/2019,0.8222831385203677
199C,A/SouthAuckland/2/2020,-0.2131150448382583
199C,A/Zhejiang-yongkang/1312/2022,1.7852739087844771
