serum,virus,replicate,concentration,fraction infectivity
2380,WT,1,0.075,0.016992595
2380,WT,1,0.0375,0.000432849
2380,WT,1,0.01875,0.022423609
2380,WT,1,0.009375,0.084557082
2380,WT,1,0.0046875,0.319543509
2380,WT,1,0.00234375,0.58098617
2380,WT,1,0.001171875,0.787261867
2380,WT,1,0.000585938,0.981737043
2380,WT,1,0.000292969,0.934954876
2380,WT,1,0.000146484,1.040068801
2380,WT,1,7.32E-05,1.014876166
2380,WT,2,0.075,0.027814695
2380,WT,2,0.0375,0.014677527
2380,WT,2,0.01875,-0.007474536
2380,WT,2,0.009375,0.072753829
2380,WT,2,0.0046875,0.309789104
2380,WT,2,0.00234375,0.572116429
2380,WT,2,0.001171875,0.774714594
2380,WT,2,0.000585938,0.924885622
2380,WT,2,0.000292969,0.899258933
2380,WT,2,0.000146484,0.99691177
2380,WT,2,7.32E-05,1.016645224
199C,WT,1,0.1,0.048699449
199C,WT,1,0.05,0.010034234
199C,WT,1,0.025,0.00422137
199C,WT,1,0.0125,0.040186326
199C,WT,1,0.00625,0.197131511
199C,WT,1,0.003125,0.460683513
199C,WT,1,0.0015625,0.72300569
199C,WT,1,0.00078125,0.924773119
199C,WT,1,0.000390625,0.947281532
199C,WT,1,0.000195313,0.986161604
199C,WT,1,9.77E-05,0.975394017
199C,WT,2,0.1,0.051072717
199C,WT,2,0.05,0.018337072
199C,WT,2,0.025,0.003098253
199C,WT,2,0.0125,0.037225643
199C,WT,2,0.00625,0.195897752
199C,WT,2,0.003125,0.465317501
199C,WT,2,0.0015625,0.70098611
199C,WT,2,0.00078125,0.919935498
199C,WT,2,0.000390625,0.913236481
199C,WT,2,0.000195313,0.99691177
199C,WT,2,9.77E-05,0.973303313
2380,4642_stockholm-14,1,0.075,0.032748309
2380,4642_stockholm-14,1,0.0375,0.011422688
2380,4642_stockholm-14,1,0.01875,-0.002402196
2380,4642_stockholm-14,1,0.009375,0.003823904
2380,4642_stockholm-14,1,0.0046875,0.010197078
2380,4642_stockholm-14,1,0.00234375,0.034366114
2380,4642_stockholm-14,1,0.001171875,0.153397392
2380,4642_stockholm-14,1,0.000585938,0.411854103
2380,4642_stockholm-14,1,0.000292969,0.593097362
2380,4642_stockholm-14,1,0.000146484,0.766496715
2380,4642_stockholm-14,1,7.32E-05,0.828561624
2380,4642_stockholm-14,2,0.075,0.03431709
2380,4642_stockholm-14,2,0.0375,0.004559271
2380,4642_stockholm-14,2,0.01875,-0.007647809
2380,4642_stockholm-14,2,0.009375,-0.006030003
2380,4642_stockholm-14,2,0.0046875,-0.009265614
2380,4642_stockholm-14,2,0.00234375,0.02676733
2380,4642_stockholm-14,2,0.001171875,0.177272282
2380,4642_stockholm-14,2,0.000585938,0.423129719
2380,4642_stockholm-14,2,0.000292969,0.613687616
2380,4642_stockholm-14,2,0.000146484,0.707275223
2380,4642_stockholm-14,2,7.32E-05,0.839248946
199C,4642_stockholm-14,1,0.1,0.077899794
199C,4642_stockholm-14,1,0.05,0.229875478
199C,4642_stockholm-14,1,0.025,0.451073635
199C,4642_stockholm-14,1,0.0125,0.607461516
