serum,virus,replicate,concentration,fraction infectivity
2380,WT,1,0.075,0.016992595
2380,WT,1,0.0375,0.000432849
2380,WT,1,0.01875,0.022423609
2380,WT,1,0.009375,0.084557082
2380,WT,1,0.0046875,0.319543509
2380,WT,1,0.00234375,0.58098617
2380,WT,1,0.001171875,0.787261867
2380,WT,1,0.000585938,0.981737043
2380,WT,1,0.000292969,0.934954876
2380,WT,1,0.000146484,1.040068801
2380,WT,1,7.32E-05,1.014876166
2380,WT,2,0.075,0.027814695
2380,WT,2,0.0375,0.014677527
2380,WT,2,0.01875,-0.007474536
2380,WT,2,0.009375,0.072753829
2380,WT,2,0.0046875,0.309789104
2380,WT,2,0.00234375,0.572116429
2380,WT,2,0.001171875,0.774714594
2380,WT,2,0.000585938,0.924885622
2380,WT,2,0.000292969,0.899258933
2380,WT,2,0.000146484,0.99691177
2380,WT,2,7.32E-05,1.016645224
199C,WT,1,0.1,0.048699449
199C,WT,1,0.05,0.010034234
199C,WT,1,0.025,0.00422137
199C,WT,1,0.0125,0.040186326
199C,WT,1,0.00625,0.197131511
199C,WT,1,0.003125,0.460683513
199C,WT,1,0.0015625,0.72300569
199C,WT,1,0.00078125,0.924773119
199C,WT,1,0.000390625,0.947281532
199C,WT,1,0.000195313,0.986161604
199C,WT,1,9.77E-05,0.975394017
199C,WT,2,0.1,0.051072717
199C,WT,2,0.05,0.018337072
199C,WT,2,0.025,0.003098253
199C,WT,2,0.0125,0.037225643
199C,WT,2,0.00625,0.195897752
199C,WT,2,0.003125,0.465317501
199C,WT,2,0.0015625,0.70098611
199C,WT,2,0.00078125,0.919935498
199C,WT,2,0.000390625,0.913236481
199C,WT,2,0.000195313,0.99691177
199C,WT,2,9.77E-05,0.973303313
2380,4642_stockholm-14,1,0.075,0.023516159
2380,4642_stockholm-14,1,0.0375,0.009329329
2380,4642_stockholm-14,1,0.01875,-0.001518721
2380,4642_stockholm-14,1,0.009375,0.002427336
2380,4642_stockholm-14,1,0.0046875,0.00888054
2380,4642_stockholm-14,1,0.00234375,0.029280314
2380,4642_stockholm-14,1,0.001171875,0.135284708
2380,4642_stockholm-14,1,0.000585938,0.371380576
2380,4642_stockholm-14,1,0.000292969,0.521847906
2380,4642_stockholm-14,1,0.000146484,0.728734561
2380,4642_stockholm-14,1,7.32E-05,0.790209463
2380,4642_stockholm-14,2,0.075,0.024642681
2380,4642_stockholm-14,2,0.0375,0.003723724
2380,4642_stockholm-14,2,0.01875,-0.00483511
2380,4642_stockholm-14,2,0.009375,-0.003827721
2380,4642_stockholm-14,2,0.0046875,-0.008069337
2380,4642_stockholm-14,2,0.00234375,0.022806065
2380,4642_stockholm-14,2,0.001171875,0.156340525
2380,4642_stockholm-14,2,0.000585938,0.381548119
2380,4642_stockholm-14,2,0.000292969,0.539964629
2380,4642_stockholm-14,2,0.000146484,0.672430669
2380,4642_stockholm-14,2,7.32E-05,0.800402095
199C,4642_stockholm-14,1,0.1,0.055938886
199C,4642_stockholm-14,1,0.05,0.187747748
199C,4642_stockholm-14,1,0.025,0.285178527
199C,4642_stockholm-14,1,0.0125,0.385604033
