library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
libA,220711_1_antibody_AUSAB-13_0.00018_1,220711_1_no-antibody_control_1,0,93081,89787,749478,827606,0.8735,0.8735
libA,220711_1_antibody_AUSAB-13_0.00018_1,220711_1_no-antibody_control_1,1,93081,89787,2413838,2737879,0.8504,0.8504
libA,220711_1_antibody_AUSAB-13_0.00018_1,220711_1_no-antibody_control_1,2,93081,89787,3106811,3551465,0.8438,0.8438
libA,220711_1_antibody_AUSAB-13_0.00018_1,220711_1_no-antibody_control_1,3,93081,89787,3043197,3547854,0.8274,0.8274
libA,220711_1_antibody_AUSAB-13_0.00018_1,220711_1_no-antibody_control_1,4,93081,89787,3536753,4123045,0.8274,0.8274
libA,220711_1_antibody_AUSAB-13_0.000737_1,220711_1_no-antibody_control_1,0,150322,89787,835726,827606,0.6032,0.6032
libA,220711_1_antibody_AUSAB-13_0.000737_1,220711_1_no-antibody_control_1,1,150322,89787,2628495,2737879,0.5734,0.5734
libA,220711_1_antibody_AUSAB-13_0.000737_1,220711_1_no-antibody_control_1,2,150322,89787,3229241,3551465,0.5431,0.5431
libA,220711_1_antibody_AUSAB-13_0.000737_1,220711_1_no-antibody_control_1,3,150322,89787,3154638,3547854,0.5311,0.5311
libA,220711_1_antibody_AUSAB-13_0.000737_1,220711_1_no-antibody_control_1,4,150322,89787,3650506,4123045,0.5288,0.5288
libA,220711_1_antibody_AUSAB-13_0.00294_1,220711_1_no-antibody_control_1,0,325419,89787,504110,827606,0.1681,0.1681
libA,220711_1_antibody_AUSAB-13_0.00294_1,220711_1_no-antibody_control_1,1,325419,89787,1775914,2737879,0.179,0.179
libA,220711_1_antibody_AUSAB-13_0.00294_1,220711_1_no-antibody_control_1,2,325419,89787,1889171,3551465,0.1468,0.1468
libA,220711_1_antibody_AUSAB-13_0.00294_1,220711_1_no-antibody_control_1,3,325419,89787,1944633,3547854,0.1512,0.1512
libA,220711_1_antibody_AUSAB-13_0.00294_1,220711_1_no-antibody_control_1,4,325419,89787,2336630,4123045,0.1564,0.1564
libA,220711_1_antibody_AUSAB-13_0.00735_1,220711_1_no-antibody_control_1,0,1238909,89787,575687,827606,0.05041,0.05041
libA,220711_1_antibody_AUSAB-13_0.00735_1,220711_1_no-antibody_control_1,1,1238909,89787,2015348,2737879,0.05335,0.05335
libA,220711_1_antibody_AUSAB-13_0.00735_1,220711_1_no-antibody_control_1,2,1238909,89787,2044674,3551465,0.04172,0.04172
libA,220711_1_antibody_AUSAB-13_0.00735_1,220711_1_no-antibody_control_1,3,1238909,89787,2338027,3547854,0.04776,0.04776
libA,220711_1_antibody_AUSAB-13_0.00735_1,220711_1_no-antibody_control_1,4,1238909,89787,2826844,4123045,0.04969,0.04969
libA,220711_1_antibody_AUSAB-13_0.0184_1,220711_1_no-antibody_control_1,0,9881344,89787,242990,827606,0.002668,0.002668
libA,220711_1_antibody_AUSAB-13_0.0184_1,220711_1_no-antibody_control_1,1,9881344,89787,1138873,2737879,0.00378,0.00378
libA,220711_1_antibody_AUSAB-13_0.0184_1,220711_1_no-antibody_control_1,2,9881344,89787,1252778,3551465,0.003205,0.003205
libA,220711_1_antibody_AUSAB-13_0.0184_1,220711_1_no-antibody_control_1,3,9881344,89787,2831990,3547854,0.007253,0.007253
libA,220711_1_antibody_AUSAB-13_0.0184_1,220711_1_no-antibody_control_1,4,9881344,89787,3949691,4123045,0.008704,0.008704
