library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
libA,220720_1_antibody_1C04_0.05075_1,220720_1_no-antibody_control_1,0,22062,99159,930836,4195211,0.9973,0.9973
libA,220720_1_antibody_1C04_0.05075_1,220720_1_no-antibody_control_1,1,22062,99159,3503105,15675183,1.004,1
libA,220720_1_antibody_1C04_0.05075_1,220720_1_no-antibody_control_1,2,22062,99159,5049407,22462737,1.01,1
libA,220720_1_antibody_1C04_0.05075_1,220720_1_no-antibody_control_1,3,22062,99159,5154878,22737613,1.019,1
libA,220720_1_antibody_1C04_0.05075_1,220720_1_no-antibody_control_1,4,22062,99159,5874169,26131173,1.01,1
libA,220720_1_antibody_1C04_0.203_1,220720_1_no-antibody_control_1,0,46750,99159,1152415,4195211,0.5826,0.5826
libA,220720_1_antibody_1C04_0.203_1,220720_1_no-antibody_control_1,1,46750,99159,4343434,15675183,0.5877,0.5877
libA,220720_1_antibody_1C04_0.203_1,220720_1_no-antibody_control_1,2,46750,99159,6237405,22462737,0.589,0.589
libA,220720_1_antibody_1C04_0.203_1,220720_1_no-antibody_control_1,3,46750,99159,6408466,22737613,0.5978,0.5978
libA,220720_1_antibody_1C04_0.203_1,220720_1_no-antibody_control_1,4,46750,99159,7204920,26131173,0.5848,0.5848
libA,220720_1_antibody_1C04_2.03_1,220720_1_no-antibody_control_1,0,8917195,99159,301608,4195211,0.0007995,0.0007995
libA,220720_1_antibody_1C04_2.03_1,220720_1_no-antibody_control_1,1,8917195,99159,1480578,15675183,0.00105,0.00105
libA,220720_1_antibody_1C04_2.03_1,220720_1_no-antibody_control_1,2,8917195,99159,3228544,22462737,0.001598,0.001598
libA,220720_1_antibody_1C04_2.03_1,220720_1_no-antibody_control_1,3,8917195,99159,4277296,22737613,0.002092,0.002092
libA,220720_1_antibody_1C04_2.03_1,220720_1_no-antibody_control_1,4,8917195,99159,7276916,26131173,0.003097,0.003097
libA,220720_1_antibody_1C04_6.09_1,220720_1_no-antibody_control_1,0,12993422,99159,320991,4195211,0.0005839,0.0005839
libA,220720_1_antibody_1C04_6.09_1,220720_1_no-antibody_control_1,1,12993422,99159,1033486,15675183,0.0005032,0.0005032
libA,220720_1_antibody_1C04_6.09_1,220720_1_no-antibody_control_1,2,12993422,99159,2387863,22462737,0.0008113,0.0008113
libA,220720_1_antibody_1C04_6.09_1,220720_1_no-antibody_control_1,3,12993422,99159,2409904,22737613,0.0008088,0.0008088
libA,220720_1_antibody_1C04_6.09_1,220720_1_no-antibody_control_1,4,12993422,99159,4222640,26131173,0.001233,0.001233
