library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
libA,220720_1_antibody_5G04_11.2_1,220720_1_no-antibody_control_1,0,5038418,99159,297355,4195211,0.001395,0.001395
libA,220720_1_antibody_5G04_11.2_1,220720_1_no-antibody_control_1,1,5038418,99159,1796416,15675183,0.002255,0.002255
libA,220720_1_antibody_5G04_11.2_1,220720_1_no-antibody_control_1,2,5038418,99159,3109451,22462737,0.002724,0.002724
libA,220720_1_antibody_5G04_11.2_1,220720_1_no-antibody_control_1,3,5038418,99159,4719076,22737613,0.004085,0.004085
libA,220720_1_antibody_5G04_11.2_1,220720_1_no-antibody_control_1,4,5038418,99159,10922503,26131173,0.008226,0.008226
libA,220720_1_antibody_5G04_112.0_1,220720_1_no-antibody_control_1,0,9888190,99159,234285,4195211,0.00056,0.00056
libA,220720_1_antibody_5G04_112.0_1,220720_1_no-antibody_control_1,1,9888190,99159,1238708,15675183,0.0007924,0.0007924
libA,220720_1_antibody_5G04_112.0_1,220720_1_no-antibody_control_1,2,9888190,99159,2487580,22462737,0.001111,0.001111
libA,220720_1_antibody_5G04_112.0_1,220720_1_no-antibody_control_1,3,9888190,99159,2547581,22737613,0.001124,0.001124
libA,220720_1_antibody_5G04_112.0_1,220720_1_no-antibody_control_1,4,9888190,99159,7110159,26131173,0.002729,0.002729
libA,220720_1_antibody_5G04_2.8_1,220720_1_no-antibody_control_1,0,1853825,99159,865213,4195211,0.01103,0.01103
libA,220720_1_antibody_5G04_2.8_1,220720_1_no-antibody_control_1,1,1853825,99159,2928865,15675183,0.009994,0.009994
libA,220720_1_antibody_5G04_2.8_1,220720_1_no-antibody_control_1,2,1853825,99159,3696353,22462737,0.008802,0.008802
libA,220720_1_antibody_5G04_2.8_1,220720_1_no-antibody_control_1,3,1853825,99159,4294806,22737613,0.0101,0.0101
libA,220720_1_antibody_5G04_2.8_1,220720_1_no-antibody_control_1,4,1853825,99159,7196542,26131173,0.01473,0.01473
libA,220720_1_antibody_5G04_336.0_1,220720_1_no-antibody_control_1,0,20373471,99159,238191,4195211,0.0002763,0.0002763
libA,220720_1_antibody_5G04_336.0_1,220720_1_no-antibody_control_1,1,20373471,99159,1220398,15675183,0.0003789,0.0003789
libA,220720_1_antibody_5G04_336.0_1,220720_1_no-antibody_control_1,2,20373471,99159,2518787,22462737,0.0005458,0.0005458
libA,220720_1_antibody_5G04_336.0_1,220720_1_no-antibody_control_1,3,20373471,99159,2177381,22737613,0.0004661,0.0004661
libA,220720_1_antibody_5G04_336.0_1,220720_1_no-antibody_control_1,4,20373471,99159,6216450,26131173,0.001158,0.001158
