library,sample,avg_counts,min_avg_counts,adequate_counts,exclude_after_counts
libA,221021_1_antibody_1C04_0.05_1,121.5,10,True,yes
libA,221021_1_antibody_1C04_0.1_1,165.0,10,True,no
libA,221021_1_antibody_1C04_0.2_1,82.2,10,True,no
libA,221021_1_antibody_1C04_0.4_1,53.0,10,True,no
libA,221021_1_antibody_1C04_0.8_1,38.3,10,True,no
libA,221021_1_antibody_5G04_1.5_1,140.6,10,True,yes
libA,221021_1_antibody_5G04_12.0_1,42.0,10,True,no
libA,221021_1_antibody_5G04_24.0_1,21.4,10,True,no
libA,221021_1_antibody_5G04_3.0_1,85.5,10,True,no
libA,221021_1_antibody_5G04_6.0_1,45.6,10,True,no
libA,221021_1_no-antibody_control_1,253.6,10,True,no
libA,221027_1_antibody_3x-1C04_5G04_1.93_1,86.9,10,True,no
libA,221027_1_antibody_3x-1C04_5G04_14.67_1,78.4,10,True,no
libA,221027_1_antibody_3x-1C04_5G04_2.9_1,65.5,10,True,no
libA,221027_1_antibody_3x-1C04_5G04_22.0_1,3.3,10,False,yes
libA,221027_1_antibody_3x-1C04_5G04_4.35_1,68.9,10,True,no
libA,221027_1_antibody_3x-1C04_5G04_6.52_1,59.9,10,True,no
libA,221027_1_antibody_3x-1C04_5G04_9.78_1,73.8,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00066019_1,52.7,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00099029_1,55.5,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00148543_1,72.1,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00222815_1,84.4,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00334222_1,101.0,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00501333_1,77.4,10,True,no
libA,221027_1_antibody_AUSAB-13_0.00752_1,86.2,10,True,no
libA,221027_1_no-antibody_control_1,247.1,10,True,no
libA,221108_1_antibody_1C04-5G04_1.37_1,67.1,10,True,no
libA,221108_1_antibody_1C04-5G04_10.4_1,41.0,10,True,yes
libA,221108_1_antibody_1C04-5G04_2.05_1,69.8,10,True,no
libA,221108_1_antibody_1C04-5G04_3.08_1,40.6,10,True,no
libA,221108_1_antibody_1C04-5G04_4.62_1,36.2,10,True,no
libA,221108_1_antibody_1C04-5G04_6.93_1,44.4,10,True,no
libA,221108_1_no-antibody_control_1,163.3,10,True,no
libA,221223_1_antibody_AUSAB-05_0.004916324_1,55.4,10,True,yes
libA,221223_1_antibody_AUSAB-05_0.007374486_1,56.9,10,True,no
libA,221223_1_antibody_AUSAB-05_0.011061729_1,81.0,10,True,no
libA,221223_1_antibody_AUSAB-05_0.016592593_1,79.9,10,True,yes
libA,221223_1_antibody_AUSAB-05_0.024888889_1,96.8,10,True,yes
libA,221223_1_antibody_AUSAB-05_0.037333333_1,99.6,10,True,yes
libA,221223_1_antibody_AUSAB-05_0.056_1,95.6,10,True,yes
libA,221223_1_antibody_AUSAB-07_0.000681262_1,13.9,10,True,yes
libA,221223_1_antibody_AUSAB-07_0.001021893_1,45.1,10,True,no
libA,221223_1_antibody_AUSAB-07_0.00153284_1,66.6,10,True,no
libA,221223_1_antibody_AUSAB-07_0.002299259_1,77.0,10,True,no
libA,221223_1_antibody_AUSAB-07_0.003448889_1,76.5,10,True,no
libA,221223_1_antibody_AUSAB-07_0.005173333_1,97.9,10,True,yes
libA,221223_1_antibody_AUSAB-07_0.00776_1,72.0,10,True,yes
libA,221223_1_antibody_AUSAB-11_0.002967353_1,47.1,10,True,yes
libA,221223_1_antibody_AUSAB-11_0.004451029_1,44.1,10,True,yes
libA,221223_1_antibody_AUSAB-11_0.006676543_1,45.6,10,True,no
libA,221223_1_antibody_AUSAB-11_0.010014815_1,60.3,10,True,no
libA,221223_1_antibody_AUSAB-11_0.015022222_1,78.9,10,True,no
libA,221223_1_antibody_AUSAB-11_0.022533333_1,95.0,10,True,yes
libA,221223_1_antibody_AUSAB-11_0.0338_1,95.6,10,True,yes
libA,221223_1_no-antibody_control_1,160.5,10,True,no
libA,230221_1_antibody_2323_0.008375_1,55.5,10,True,no
libA,230221_1_antibody_2323_0.0125_1,96.8,10,True,no
libA,230221_1_antibody_2323_0.01875_1,139.5,10,True,no
libA,230221_1_antibody_2323_0.028125_1,122.7,10,True,no
libA,230221_1_antibody_2367_0.00034_1,31.5,10,True,no
libA,230221_1_antibody_2367_0.00068_1,52.4,10,True,no
libA,230221_1_antibody_2367_0.00136_1,139.3,10,True,no
libA,230221_1_antibody_2367_0.00272_1,177.6,10,True,no
libA,230221_1_antibody_2389_0.012122_1,44.7,10,True,yes
libA,230221_1_antibody_2389_0.018183_1,38.8,10,True,no
libA,230221_1_antibody_2389_0.0272745_1,75.8,10,True,no
libA,230221_1_antibody_2389_0.04091175_1,74.5,10,True,no
libA,230221_1_antibody_2462_0.010801333_1,71.9,10,True,no
libA,230221_1_antibody_2462_0.016202_1,137.2,10,True,no
libA,230221_1_antibody_2462_0.024303_1,6.4,10,False,yes
libA,230221_1_antibody_2462_0.0364545_1,55.7,10,True,no
libA,230221_1_antibody_3944_0.000534_1,48.4,10,True,yes
libA,230221_1_antibody_3944_0.001068_1,33.7,10,True,no
libA,230221_1_antibody_3944_0.002136_1,48.5,10,True,no
libA,230221_1_antibody_3944_0.004272_1,140.8,10,True,no
libA,230221_1_no-antibody_control_1,176.5,10,True,no
libA,230312_1_antibody_2367_0.00034_1,84.9,10,True,yes
libA,230312_1_antibody_2367_0.00034_2,30.2,10,True,yes
libA,230312_1_antibody_2367_0.00034_3,30.0,10,True,yes
libA,230312_1_antibody_2367_0.00034_4,28.7,10,True,yes
libA,230312_1_antibody_2367_0.00068_1,112.0,10,True,yes
libA,230312_1_antibody_2367_0.00068_2,51.4,10,True,yes
libA,230312_1_antibody_2367_0.00068_3,33.3,10,True,yes
libA,230312_1_antibody_2367_0.00068_4,34.0,10,True,yes
libA,230312_1_antibody_2367_0.00136_1,174.8,10,True,yes
libA,230312_1_antibody_2367_0.00136_2,113.7,10,True,yes
libA,230312_1_antibody_2367_0.00136_3,78.1,10,True,yes
libA,230312_1_antibody_2367_0.00136_4,19.8,10,True,yes
libA,230312_1_antibody_2367_0.00272_1,173.0,10,True,yes
libA,230312_1_antibody_2367_0.00272_2,164.2,10,True,yes
libA,230312_1_antibody_2367_0.00272_3,168.8,10,True,yes
libA,230312_1_antibody_2367_0.00272_4,129.1,10,True,yes
libA,230312_1_no-antibody_control_1,154.0,10,True,yes
libA,230312_1_no-antibody_control_2,121.3,10,True,yes
libA,230312_1_no-antibody_control_3,131.2,10,True,yes
libA,230312_1_no-antibody_control_4,137.4,10,True,yes
libA,230312_1_plasmid_1,0.2,10,False,yes
libA,230317_1_antibody_2343_0.0015645_1,44.9,10,True,yes
libA,230317_1_antibody_2343_0.003129_1,42.2,10,True,yes
libA,230317_1_antibody_2343_0.006258_1,58.0,10,True,no
libA,230317_1_antibody_2343_0.012516_1,151.8,10,True,no
libA,230317_1_antibody_2350_0.00090075_1,36.8,10,True,yes
libA,230317_1_antibody_2350_0.0018015_1,47.0,10,True,yes
libA,230317_1_antibody_2350_0.003603_1,44.5,10,True,no
libA,230317_1_antibody_2350_0.007206_1,124.5,10,True,no
libA,230317_1_antibody_2365_0.00075125_1,42.8,10,True,yes
libA,230317_1_antibody_2365_0.0015025_1,42.6,10,True,yes
libA,230317_1_antibody_2365_0.003005_1,38.2,10,True,no
libA,230317_1_antibody_2365_0.00601_1,152.9,10,True,no
