frac_counts,replicate,selection_concentration,neut_std
0.7791620774857275,1,0.00034,spike-in
0.25515878918163676,2,0.00034,spike-in
0.036410540924181084,3,0.00034,spike-in
0.003516721557878915,4,0.00034,spike-in
0.8692389346765081,1,0.00068,spike-in
0.39523493937267873,2,0.00068,spike-in
0.0638649872734252,3,0.00068,spike-in
0.006874405909918385,4,0.00068,spike-in
0.9721310488427741,1,0.00136,spike-in
0.7772521790035124,2,0.00136,spike-in
0.2705639164250122,3,0.00136,spike-in
0.03694502634987138,4,0.00136,spike-in
0.9930396714484089,1,0.00272,spike-in
0.9287461373862741,2,0.00272,spike-in
0.5920799259338965,3,0.00272,spike-in
0.12629153339577967,4,0.00272,spike-in
0.061,1,0.00034,H6
0.19,1,0.00068,H6
0.6,1,0.00136,H6
0.79,1,0.00272,H6
